Title,Type,Timestamp,Account Currency,Total Amount,Buy / Sell,Ticker,ISIN,Price per Share in Account Currency,Stamp Duty,Quantity,Venue,Order ID,Order Type,Instrument Currency,Total Shares Amount,Price per Share,FX Rate,Base FX Rate,FX Fee (BPS),FX Fee Amount,Dividend Ex Date,Dividend Pay Date,Dividend Eligible Quantity,Dividend Amount Per Share,Dividend Gross Distribution Amount,Dividend Net Distribution Amount,Dividend Withheld Tax Percentage,Dividend Withheld Tax Amount,Stock Split Ex Date,Stock Split Pay Date,Stock Split New ISIN,Stock Split Rate of Share Outturn From,Stock Split Rate of Share Outturn To,Stock Split Maintain Holding of Initial ISIN,Stock Split New Share Quantity,Stock Split Rate of Cash Outturn Amount,Stock Split Rate of Cash Outturn Currency,Stock Split Cash Outturn Received Amount,Stock Split Has Fractional Payout,Stock Split Rate of Fractional Payout Amount,Stock Split Rate of Fractional Payout Currency,Stock Split Fractional Payout Cash Received Amount,Stock Split Fractional Payout Cash Received Currency
Palantir,ORDER,2025-10-31T17:16:01.133Z,GBP,21.87,SELL,PLTR,US69608A1088,150.78841780,0.00,0.14589980,Drivewealth,2QET413XVO1P,STOP_TRIGGERED,USD,28.89,198.03120000,1.32075575,1.31300900,59,0.13,,,,,,,,,,,,,,,,,,,,,,,
Palantir,ORDER,2025-10-31T14:00:35.552Z,GBP,20.63,BUY,PLTR,US69608A1088,153.50755405,0.00,0.13360906,Drivewealth,DKFPJEA1PFUA,MARKET,USD,26.89,201.25880000,1.30351831,1.31125471,59,0.12,,,,,,,,,,,,,,,,,,,,,,,
Arm ADS,ORDER,2025-10-31T14:00:16.731Z,GBP,9.98,BUY,ARM,US0420682058,128.06697490,0.00,0.07745947,Drivewealth,9XLXI10NHZQL,MARKET,USD,13.01,167.95880000,1.30339901,1.31113470,59,0.06,,,,,,,,,,,,,,,,,,,,,,,
Vodafone,ORDER,2025-10-31T08:30:29.406Z,GBP,18.22,SELL,VOD,GB00BH4HKS39,0.91100000,0.00,20.00000000,London Stock Exchange,4E4Q28Z7004A,BASIC,GBP,18.22,0.91100000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lloyds,ORDER,2025-10-31T08:30:28.433Z,GBP,12.40,SELL,LLOY,GB0008706128,0.88571429,0.00,14.00000000,London Stock Exchange,SA75V1Z2LUHO,BASIC,GBP,12.40,0.88571429,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Apple,ORDER,2025-10-24T09:50:39.419Z,GBP,10.23,BUY,AAPL,US0378331005,194.94036780,0.00,0.05216980,Drivewealth,9WAO53YEXGKP,MARKET,USD,13.55,259.72880000,1.32428137,1.33214100,59,0.06,,,,,,,,,,,,,,,,,,,,,,,
Palantir,ORDER,2025-10-24T09:50:09.243Z,GBP,19.98,BUY,PLTR,US69608A1088,136.12081716,0.00,0.14589980,Drivewealth,FC1S9PYZ7FIS,MARKET,USD,26.45,181.28880000,1.32429131,1.33215100,59,0.12,,,,,,,,,,,,,,,,,,,,,,,
Vodafone,ORDER,2025-10-24T09:10:10.360Z,GBP,17.51,SELL,VOD,GB00BH4HKS39,0.87550000,0.00,20.00000000,London Stock Exchange,E1NHU9EP9K7T,MARKET,GBP,17.51,0.87550000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lloyds,ORDER,2025-10-24T09:09:48.014Z,GBP,12.61,SELL,LLOY,GB0008706128,0.84066667,0.00,15.00000000,London Stock Exchange,SQ54FQLVCJRV,MARKET,GBP,12.61,0.84066667,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-10-15T00:00:00.000Z,GBP,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm ADS,ORDER,2025-10-10T14:10:09.613Z,GBP,55.77,BUY,ARM,US0420682058,127.43958653,0.00,0.43502966,Drivewealth,6RW0OM5XGEE7,BASIC,USD,73.65,169.29880000,1.32057238,1.32841000,59,0.33,,,,,,,,,,,,,,,,,,,,,,,
Nvidia,ORDER,2025-10-10T13:14:34.639Z,GBP,43.42,SELL,NVDA,US67066G1040,145.60000000,0.00,0.30000000,Drivewealth,QDS0PK2BTM4D,MARKET,USD,57.99,193.31120000,1.33535237,1.32752000,59,0.26,,,,,,,,,,,,,,,,,,,,,,,
AMD,ORDER,2025-10-10T13:14:09.399Z,GBP,12.42,SELL,AMD,US0079031078,175.28370629,0.00,0.07125591,Drivewealth,79NOIUR33ZX3,MARKET,USD,16.58,232.63120000,1.33531213,1.32748000,59,0.07,,,,,,,,,,,,,,,,,,,,,,,
AMD,ORDER,2025-10-06T17:58:59.259Z,GBP,1.09,BUY,AMD,US0079031078,153.82533703,0.00,0.00702095,Drivewealth,OJV4JSGZBP8G,MARKET,USD,1.46,207.94880000,1.34013725,1.34809099,59,0.01,,,,,,,,,,,,,,,,,,,,,,,
Games Workshop,DIVIDEND,2025-10-03T16:17:00.000Z,GBP,1.10,,GAW,GB0003718474,,,2.00000000,,,,GBP,,,,,,,2025-08-28,2025-10-03,2.00000000,0.55000000,,,0,0.00,,,,,,,,,,,,,,,
AMD,ORDER,2025-10-01T10:47:07.764Z,GBP,7.70,BUY,AMD,US0079031078,119.09402606,0.00,0.06423496,Drivewealth,2CFX75XZOSDA,MARKET,USD,10.30,160.34880000,1.33926346,1.34721201,59,0.05,,,,,,,,,,,,,,,,,,,,,,,
Legal & General,ORDER,2025-10-01T10:46:20.711Z,GBP,4.72,SELL,LGEN,GB0005603997,2.36000000,0.00,2.00000000,London Stock Exchange,NNNI09MSVPS7,MARKET,GBP,4.72,2.36000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Legal & General,DIVIDEND,2025-09-26T18:41:00.000Z,GBP,0.12,,LGEN,GB0005603997,,,2.00000000,,,,GBP,,,,,,,2025-08-21,2025-09-26,2.00000000,0.06120000,,,0,0.00,,,,,,,,,,,,,,,
Nvidia,ORDER,2025-09-23T14:09:26.280Z,GBP,14.98,BUY,NVDA,US67066G1040,133.20985105,0.00,0.11177852,Drivewealth,7AESZKOVSB8S,MARKET,USD,20.12,179.99880000,1.34334721,1.35132000,59,0.09,,,,,,,,,,,,,,,,,,,,,,,
Palantir,ORDER,2025-09-23T14:09:08.572Z,GBP,11.24,SELL,PLTR,US69608A1088,134.48579694,0.00,0.08409810,Drivewealth,O28K063K384E,MARKET,USD,15.29,181.84120000,1.35975853,1.35178301,59,0.07,,,,,,,,,,,,,,,,,,,,,,,
Barclays,ORDER,2025-09-23T14:07:44.408Z,GBP,3.88,SELL,BARC,GB0031348658,3.88000000,0.00,1.00000000,London Stock Exchange,BBRV327VWK8E,MARKET,GBP,3.88,3.88000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BP,DIVIDEND,2025-09-19T17:21:00.000Z,GBP,0.06,,BP.,GB0007980591,,,1.00000000,,,,GBP,,,,,,,2025-08-14,2025-09-19,1.00000000,0.06194200,,,0,0.00,,,,,,,,,,,,,,,
Barclays,DIVIDEND,2025-09-16T16:35:00.000Z,GBP,0.03,,BARC,GB0031348658,,,1.00000000,,,,GBP,,,,,,,2025-08-07,2025-09-16,1.00000000,0.03000000,,,0,0.00,,,,,,,,,,,,,,,
Rolls-Royce,ORDER,2025-09-16T07:33:09.589Z,GBP,45.79,BUY,RR.,GB00B63H8491,11.39000000,0.23,4.00000000,London Stock Exchange,M3VJWFT4MSUZ,BASIC,GBP,45.56,11.39000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-09-15T00:00:00.000Z,GBP,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unilever,DIVIDEND,2025-09-12T16:08:00.000Z,GBP,0.39,,ULVR,GB00B10RZP78,,,1.00000000,,,,GBP,,,,,,,2025-08-14,2025-09-12,1.00000000,0.39160000,,,0,0.00,,,,,,,,,,,,,,,
